provinsi,unemployment_rate_feb,unemployment_rate_aug,unemployment_rate_avg,tahun
Aceh,5.56,5.75,5.654999999999999,2024
Aceh,5.5,5.64,5.57,2025
Aceh,5.88,,5.88,2026
Bali,1.87,1.79,1.83,2024
Bali,1.58,1.49,1.535,2025
Bali,1.59,,1.59,2026
Banten,7.02,6.68,6.85,2024
Banten,6.64,6.69,6.665,2025
Banten,6.59,,6.59,2026
Bengkulu,3.17,3.11,3.1399999999999997,2024
Bengkulu,3.24,3.41,3.325,2025
Bengkulu,3.23,,3.23,2026
DI Yogyakarta,3.24,3.48,3.3600000000000003,2024
DI Yogyakarta,3.18,3.46,3.3200000000000003,2025
DI Yogyakarta,3.05,,3.05,2026
DKI Jakarta,6.03,6.21,6.12,2024
DKI Jakarta,6.18,6.05,6.115,2025
DKI Jakarta,6.03,,6.03,2026
Gorontalo,3.05,3.13,3.09,2024
Gorontalo,3.12,3.42,3.27,2025
Gorontalo,3.17,,3.17,2026
Jambi,4.45,4.48,4.465,2024
Jambi,4.48,4.26,4.37,2025
Jambi,3.99,,3.99,2026
Jawa Barat,6.91,6.75,6.83,2024
Jawa Barat,6.74,6.77,6.755,2025
Jawa Barat,6.64,,6.64,2026
Jawa Tengah,4.39,4.78,4.585,2024
Jawa Tengah,4.33,4.66,4.495,2025
Jawa Tengah,4.24,,4.24,2026
Jawa Timur,3.74,4.19,3.965,2024
Jawa Timur,3.61,3.88,3.745,2025
Jawa Timur,3.55,,3.55,2026
Kalimantan Barat,4.2,4.86,4.53,2024
Kalimantan Barat,4.23,4.82,4.525,2025
Kalimantan Barat,4.57,,4.57,2026
Kalimantan Selatan,3.89,4.2,4.045,2024
Kalimantan Selatan,3.94,4.16,4.05,2025
Kalimantan Selatan,3.8,,3.8,2026
Kalimantan Tengah,3.67,4.01,3.84,2024
Kalimantan Tengah,3.47,3.97,3.72,2025
Kalimantan Tengah,3.44,,3.44,2026
Kalimantan Timur,5.75,5.14,5.445,2024
Kalimantan Timur,5.33,5.18,5.255,2025
Kalimantan Timur,5.27,,5.27,2026
Kalimantan Utara,4.01,3.9,3.955,2024
Kalimantan Utara,3.9,3.85,3.875,2025
Kalimantan Utara,3.9,,3.9,2026
Kep. Riau,6.94,6.39,6.665,2024
Kep. Riau,6.89,6.45,6.67,2025
Kep. Riau,6.87,,6.87,2026
Kepulauan Bangka Belitung,3.85,4.63,4.24,2024
Kepulauan Bangka Belitung,4.17,4.45,4.3100000000000005,2025
Kepulauan Bangka Belitung,4.15,,4.15,2026
Lampung,4.12,4.19,4.155,2024
Lampung,4.07,4.21,4.140000000000001,2025
Lampung,3.95,,3.95,2026
Maluku,5.96,6.11,6.035,2024
Maluku,5.95,6.27,6.109999999999999,2025
Maluku,5.8,,5.8,2026
Maluku Utara,4.16,4.03,4.095000000000001,2024
Maluku Utara,4.26,4.55,4.404999999999999,2025
Maluku Utara,4.46,,4.46,2026
Nusa Tenggara Barat,3.3,2.73,3.0149999999999997,2024
Nusa Tenggara Barat,3.22,3.06,3.14,2025
Nusa Tenggara Barat,2.99,,2.99,2026
Nusa Tenggara Timur,3.17,3.02,3.095,2024
Nusa Tenggara Timur,3.23,3.31,3.27,2025
Nusa Tenggara Timur,3.16,,3.16,2026
Papua,2.49,2.75,2.62,2024
Papua,3.55,3.62,3.585,2025
Papua,3.83,,3.83,2026
Papua Barat,6.02,6.48,6.25,2024
Papua Barat,6.61,6.85,6.73,2025
Papua Barat,6.41,,6.41,2026
Riau,3.85,3.7,3.775,2024
Riau,4.12,4.16,4.140000000000001,2025
Riau,4.09,,4.09,2026
Sulawesi Barat,3.02,2.68,2.85,2024
Sulawesi Barat,3.17,2.86,3.0149999999999997,2025
Sulawesi Barat,2.93,,2.93,2026
Sulawesi Selatan,4.9,4.19,4.545,2024
Sulawesi Selatan,4.96,4.21,4.585,2025
Sulawesi Selatan,4.95,,4.95,2026
Sulawesi Tengah,3.15,2.94,3.045,2024
Sulawesi Tengah,3.02,2.92,2.97,2025
Sulawesi Tengah,2.95,,2.95,2026
Sulawesi Tenggara,3.22,3.09,3.155,2024
Sulawesi Tenggara,3.27,3.31,3.29,2025
Sulawesi Tenggara,3.25,,3.25,2026
Sulawesi Utara,5.98,5.85,5.915,2024
Sulawesi Utara,6.03,5.99,6.01,2025
Sulawesi Utara,5.75,,5.75,2026
Sumatera Barat,5.79,5.75,5.77,2024
Sumatera Barat,5.69,5.62,5.655,2025
Sumatera Barat,5.51,,5.51,2026
Sumatera Selatan,3.97,3.86,3.915,2024
Sumatera Selatan,3.89,3.69,3.79,2025
Sumatera Selatan,3.59,,3.59,2026
Sumatera Utara,5.1,5.6,5.35,2024
Sumatera Utara,5.05,5.32,5.1850000000000005,2025
Sumatera Utara,5.01,,5.01,2026
