provinsi,tahun,crime_total
Aceh,2015,8048
Aceh,2016,9646
Aceh,2017,8885
Aceh,2018,8758
Aceh,2019,7483
Aceh,2020,7745
Aceh,2021,6651
Aceh,2022,10137
Aceh,2023,12420
Aceh,2024,11934
Bali,2015,5032
Bali,2016,4764
Bali,2017,3589
Bali,2018,3212
Bali,2019,3047
Bali,2020,2597
Bali,2021,2404
Bali,2022,6304
Bali,2023,11916
Bali,2024,13848
Banten,2015,5002
Banten,2016,4570
Banten,2017,3692
Banten,2018,3490
Banten,2019,3287
Banten,2020,4250
Banten,2021,3434
Banten,2022,5038
Banten,2023,7392
Banten,2024,6868
Bengkulu,2015,4463
Bengkulu,2016,3345
Bengkulu,2017,4867
Bengkulu,2018,3389
Bengkulu,2019,3453
Bengkulu,2020,3333
Bengkulu,2021,3493
Bengkulu,2022,3613
Bengkulu,2023,5579
Bengkulu,2024,5323
DI Yogyakarta,2015,9692
DI Yogyakarta,2016,8348
DI Yogyakarta,2017,7251
DI Yogyakarta,2018,6731
DI Yogyakarta,2019,6650
DI Yogyakarta,2020,7721
DI Yogyakarta,2021,4774
DI Yogyakarta,2022,10591
DI Yogyakarta,2023,12061
DI Yogyakarta,2024,11659
DKI Jakarta,2015,44461
DKI Jakarta,2016,43842
DKI Jakarta,2017,34767
DKI Jakarta,2018,34655
DKI Jakarta,2019,31934
DKI Jakarta,2020,26585
DKI Jakarta,2021,29103
DKI Jakarta,2022,32602
DKI Jakarta,2023,87426
DKI Jakarta,2024,77261
Gorontalo,2015,3372
Gorontalo,2016,3763
Gorontalo,2017,3099
Gorontalo,2018,2836
Gorontalo,2019,2367
Gorontalo,2020,2518
Gorontalo,2021,2445
Gorontalo,2022,2488
Gorontalo,2023,3574
Gorontalo,2024,3317
Jambi,2015,10564
Jambi,2016,5904
Jambi,2017,9531
Jambi,2018,6313
Jambi,2019,6848
Jambi,2020,4709
Jambi,2021,3701
Jambi,2022,5359
Jambi,2023,7432
Jambi,2024,7592
Jawa Barat,2015,27805
Jawa Barat,2016,29351
Jawa Barat,2017,25183
Jawa Barat,2018,16209
Jawa Barat,2019,13145
Jawa Barat,2020,11256
Jawa Barat,2021,7502
Jawa Barat,2022,29485
Jawa Barat,2023,45694
Jawa Barat,2024,37636
Jawa Tengah,2015,15958
Jawa Tengah,2016,14353
Jawa Tengah,2017,12033
Jawa Tengah,2018,9127
Jawa Tengah,2019,10317
Jawa Tengah,2020,10712
Jawa Tengah,2021,8909
Jawa Tengah,2022,30060
Jawa Tengah,2023,42304
Jawa Tengah,2024,41460
Jawa Timur,2015,27394
Jawa Timur,2016,5437
Jawa Timur,2017,28902
Jawa Timur,2018,26295
Jawa Timur,2019,26985
Jawa Timur,2020,17642
Jawa Timur,2021,19257
