provinsi,population_density,tahun,population
Aceh,91,2020,5274900
Aceh,92,2021,5333700
Aceh,95,2022,5407900
Aceh,96,2023,5482500
Aceh,98,2024,5554800
Aceh,99,2025,5626000
Aceh,100,2026,5695900
Bali,747,2020,4317400
Bali,755,2021,4362700
Bali,790,2022,4415100
Bali,788,2023,4404300
Bali,793,2024,4433300
Bali,798,2025,4461300
Bali,804,2026,4488200
Banten,1232,2020,11904600
Banten,1248,2021,12061500
Banten,1310,2022,12252000
Banten,1316,2023,12307700
Banten,1329,2024,12431400
Banten,1341,2025,12537400
Banten,1351,2026,12641300
Bengkulu,101,2020,2010700
Bengkulu,102,2021,2032900
Bengkulu,102,2022,2060100
Bengkulu,104,2023,2086000
Bengkulu,105,2024,2112200
Bengkulu,106,2025,2138000
Bengkulu,108,2026,2163300
DI Yogyakarta,1171,2020,3668700
DI Yogyakarta,1185,2021,3712900
DI Yogyakarta,1186,2022,3761900
DI Yogyakarta,1178,2023,3736500
DI Yogyakarta,1186,2024,3759500
DI Yogyakarta,1193,2025,3781500
DI Yogyakarta,1199,2026,3802700
DKI Jakarta,15907,2020,10562100
DKI Jakarta,15978,2021,10609700
DKI Jakarta,16158,2022,10680000
DKI Jakarta,16146,2023,10672100
DKI Jakarta,16165,2024,10684900
DKI Jakarta,16155,2025,10678000
DKI Jakarta,16129,2026,10669700
Gorontalo,104,2020,1171700
Gorontalo,105,2021,1181000
Gorontalo,99,2022,1192700
Gorontalo,101,2023,1213200
Gorontalo,102,2024,1227800
Gorontalo,103,2025,1242200
Gorontalo,104,2026,1256400
Jambi,71,2020,3548200
Jambi,72,2021,3585100
Jambi,74,2022,3631100
Jambi,75,2023,3679200
Jambi,76,2024,3724300
Jambi,77,2025,3768500
Jambi,78,2026,3811700
Jawa Barat,1365,2020,48274200
Jawa Barat,1379,2021,48782400
Jawa Barat,1334,2022,49405800
Jawa Barat,1346,2023,49860300
Jawa Barat,1359,2024,50345200
Jawa Barat,1370,2025,50759000
Jawa Barat,1381,2026,51163900
Jawa Tengah,1113,2020,36516000
Jawa Tengah,1120,2021,36742500
Jawa Tengah,1078,2022,37032400
Jawa Tengah,1093,2023,37541000
Jawa Tengah,1104,2024,37892300
Jawa Tengah,1113,2025,38233900
Jawa Tengah,1123,2026,38565000
Jawa Timur,851,2020,40665700
Jawa Timur,855,2021,40878800
Jawa Timur,857,2022,41150000
Jawa Timur,865,2023,41527900
Jawa Timur,870,2024,41814500
Jawa Timur,876,2025,42089300
Jawa Timur,881,2026,42352000
Kalimantan Barat,37,2020,5414400
Kalimantan Barat,37,2021,5470800
Kalimantan Barat,38,2022,5541400
Kalimantan Barat,38,2023,5623300
Kalimantan Barat,39,2024,5695500
Kalimantan Barat,39,2025,5766000
Kalimantan Barat,40,2026,5835000
Kalimantan Selatan,105,2020,4073600
Kalimantan Selatan,106,2021,4122600
Kalimantan Selatan,113,2022,4182100
Kalimantan Selatan,114,2023,4222300
Kalimantan Selatan,115,2024,4273400
Kalimantan Selatan,116,2025,4323300
Kalimantan Selatan,118,2026,4372100
Kalimantan Tengah,17,2020,2670000
Kalimantan Tengah,18,2021,2702200
Kalimantan Tengah,18,2022,2741100
Kalimantan Tengah,18,2023,2773700
Kalimantan Tengah,18,2024,2809700
Kalimantan Tengah,19,2025,2845000
Kalimantan Tengah,19,2026,2879500
Kalimantan Timur,29,2020,3766000
Kalimantan Timur,30,2021,3808200
Kalimantan Timur,30,2022,3859800
Kalimantan Timur,31,2023,3909700
Kalimantan Timur,32,2024,4045900
Kalimantan Timur,34,2025,4267600
Kalimantan Timur,35,2026,4478400
Kalimantan Utara,9,2020,701800
Kalimantan Utara,9,2021,713600
Kalimantan Utara,10,2022,727800
Kalimantan Utara,10,2023,730000
Kalimantan Utara,11,2024,739800
Kalimantan Utara,11,2025,749400
Kalimantan Utara,11,2026,758800
Kepulauan Bangka Belitung,89,2020,1455700
Kepulauan Bangka Belitung,90,2021,1473200
Kepulauan Bangka Belitung,90,2022,1494600
Kepulauan Bangka Belitung,91,2023,1511900
Kepulauan Bangka Belitung,92,2024,1531500
Kepulauan Bangka Belitung,93,2025,1550800
Kepulauan Bangka Belitung,94,2026,1569700
Kepulauan Riau,252,2020,2064600
Kepulauan Riau,258,2021,2118200
Kepulauan Riau,264,2022,2179800
Kepulauan Riau,260,2023,2152600
Kepulauan Riau,264,2024,2183300
Kepulauan Riau,268,2025,2213500
Kepulauan Riau,275,2026,2243100
Lampung,260,2020,9007800
Lampung,262,2021,9081800
Lampung,273,2022,9176600
Lampung,277,2023,9314000
Lampung,281,2024,9419600
Lampung,284,2025,9522900
Lampung,287,2026,9623800
Maluku,39,2020,1848900
Maluku,40,2021,1862600
Maluku,41,2022,1881700
Maluku,42,2023,1920500
Maluku,42,2024,1945600
Maluku,43,2025,1970600
Maluku,43,2026,1995200
Maluku Utara,41,2021,1299200
Maluku Utara,40,2022,1319300
Maluku Utara,41,2023,1337100
Maluku Utara,41,2024,1355600
Maluku Utara,42,2025,1373800
Maluku Utara,44,2026,1391700
Nusa Tenggara Barat,286,2020,5320100
Nusa Tenggara Barat,290,2021,5390000
Nusa Tenggara Barat,278,2022,5473700
Nusa Tenggara Barat,283,2023,5560300
