provinsi,unemployment_rate_feb,unemployment_rate_aug,unemployment_rate_avg,tahun
ACEH,5.56,5.75,5.654999999999999,2024
ACEH,5.5,5.64,5.57,2025
ACEH,5.88,,5.88,2026
BALI,1.87,1.79,1.83,2024
BALI,1.58,1.49,1.5350000000000001,2025
BALI,1.59,,1.59,2026
BANTEN,7.02,6.68,6.85,2024
BANTEN,6.64,6.69,6.665,2025
BANTEN,6.59,,6.59,2026
BENGKULU,3.17,3.11,3.1399999999999997,2024
BENGKULU,3.24,3.41,3.325,2025
BENGKULU,3.23,,3.23,2026
DI YOGYAKARTA,3.24,3.48,3.3600000000000003,2024
DI YOGYAKARTA,3.18,3.46,3.3200000000000003,2025
DI YOGYAKARTA,3.05,,3.05,2026
DKI JAKARTA,6.03,6.21,6.12,2024
DKI JAKARTA,6.18,6.05,6.115,2025
DKI JAKARTA,6.03,,6.03,2026
GORONTALO,3.05,3.13,3.09,2024
GORONTALO,3.12,3.42,3.27,2025
GORONTALO,3.17,,3.17,2026
JAMBI,4.45,4.48,4.465,2024
JAMBI,4.48,4.26,4.37,2025
JAMBI,3.99,,3.99,2026
JAWA BARAT,6.91,6.75,6.83,2024
JAWA BARAT,6.74,6.77,6.755,2025
JAWA BARAT,6.64,,6.64,2026
JAWA TENGAH,4.39,4.78,4.585,2024
JAWA TENGAH,4.33,4.66,4.495,2025
JAWA TENGAH,4.24,,4.24,2026
JAWA TIMUR,3.74,4.19,3.9650000000000003,2024
JAWA TIMUR,3.61,3.88,3.745,2025
JAWA TIMUR,3.55,,3.55,2026
KALIMANTAN BARAT,4.2,4.86,4.53,2024
KALIMANTAN BARAT,4.23,4.82,4.525,2025
KALIMANTAN BARAT,4.57,,4.57,2026
KALIMANTAN SELATAN,3.89,4.2,4.045,2024
KALIMANTAN SELATAN,3.94,4.16,4.05,2025
KALIMANTAN SELATAN,3.8,,3.8,2026
KALIMANTAN TENGAH,3.67,4.01,3.84,2024
KALIMANTAN TENGAH,3.47,3.97,3.72,2025
KALIMANTAN TENGAH,3.44,,3.44,2026
KALIMANTAN TIMUR,5.75,5.14,5.445,2024
KALIMANTAN TIMUR,5.33,5.18,5.255,2025
KALIMANTAN TIMUR,5.27,,5.27,2026
KALIMANTAN UTARA,4.01,3.9,3.955,2024
KALIMANTAN UTARA,3.9,3.85,3.875,2025
KALIMANTAN UTARA,3.9,,3.9,2026
KEP. BANGKA BELITUNG,3.85,4.63,4.24,2024
KEP. BANGKA BELITUNG,4.17,4.45,4.3100000000000005,2025
KEP. BANGKA BELITUNG,4.15,,4.15,2026
KEP. RIAU,6.94,6.39,6.665,2024
KEP. RIAU,6.89,6.45,6.67,2025
KEP. RIAU,6.87,,6.87,2026
LAMPUNG,4.12,4.19,4.155,2024
LAMPUNG,4.07,4.21,4.140000000000001,2025
LAMPUNG,3.95,,3.95,2026
MALUKU,5.96,6.11,6.035,2024
MALUKU,5.95,6.27,6.109999999999999,2025
MALUKU,5.8,,5.8,2026
MALUKU UTARA,4.16,4.03,4.095000000000001,2024
MALUKU UTARA,4.26,4.55,4.404999999999999,2025
MALUKU UTARA,4.46,,4.46,2026
NUSA TENGGARA BARAT,3.3,2.73,3.0149999999999997,2024
NUSA TENGGARA BARAT,3.22,3.06,3.14,2025
NUSA TENGGARA BARAT,2.99,,2.99,2026
NUSA TENGGARA TIMUR,3.17,3.02,3.0949999999999998,2024
