provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled,crime_rate_lag1,crime_rate_lag2,crime_rate_ma3,crime_rate_yoy_abs,crime_rate_yoy_change,trend_direction,trend_direction_enc,unemp_x_density,crime_per_density,danger_level,danger_level_enc
Aceh,2015,8048.0,False,4976861.0,85.9,True,161.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.0207489056,-0.2768058494,-0.2492753676,0.0385332008,,,,,,,,364.22,1.8824,Sedang,1
Aceh,2016,9646.0,False,5035090.0,86.9,True,191.6,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.3655032834,-0.2715223754,-0.2488992881,0.0385332008,161.7,,176.6,29.9,18.49,Naik,1.0,368.46,2.2048,Sedang,1
Aceh,2017,8885.0,False,5094000.0,87.9,True,174.4,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.1671830393,-0.26617711,-0.2485232086,0.0385332008,191.6,161.7,175.9,-17.2,-8.98,Turun,-1.0,372.7,1.9841,Sedang,1
Aceh,2018,8758.0,False,5153600.0,88.9,True,169.9,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.115296929,-0.2607692367,-0.248147129,0.0385332008,174.4,191.6,178.6,-4.5,-2.58,Stabil,0.0,376.94,1.9111,Sedang,1
Aceh,2019,7483.0,False,5213897.0,89.9,True,143.5,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.1891015853,-0.2552981203,-0.2477710495,0.0385332008,169.9,174.4,162.6,-26.4,-15.54,Turun,-1.0,381.18,1.5962,Sedang,1
Aceh,2020,7745.0,False,5274900.0,91.0,False,146.8,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.151051771,-0.2497629441,-0.247357362,0.0385332008,143.5,169.9,153.4,3.3,2.3,Stabil,0.0,385.84,1.6132,Sedang,1
Aceh,2021,6651.0,False,5333700.0,92.0,False,124.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.4058702242,-0.2444276597,-0.2469812825,0.0385332008,146.8,143.5,138.3,-22.1,-15.05,Turun,-1.0,390.08,1.3554,Sedang,1
Bali,2015,5032.0,False,4073461.0,704.8,True,123.5,3.015,Bali & Nusa Tenggara,Bali,0,0,-0.4197065203,-0.3587768688,-0.0165197451,-1.4674962186,,,,,,,,2124.97,0.1752,Sedang,1
Bali,2016,4764.0,False,4121120.0,713.0,True,115.6,3.015,Bali & Nusa Tenggara,Bali,0,0,-0.5107954696,-0.3544524756,-0.0134358929,-1.4674962186,123.5,,119.6,-7.9,-6.4,Turun,-1.0,2149.7,0.1621,Sedang,1
Bali,2017,3589.0,False,4169337.0,721.4,True,86.1,3.015,Bali & Nusa Tenggara,Bali,0,0,-0.8509377487,-0.3500774517,-0.0102768248,-1.4674962186,115.6,123.5,108.4,-29.5,-25.52,Turun,-1.0,2175.02,0.1194,Rendah,0
Bali,2018,3212.0,False,4218119.0,729.8,True,76.1,3.015,Bali & Nusa Tenggara,Bali,0,0,-0.9662402162,-0.3456511618,-0.0071177568,-1.4674962186,86.1,115.6,92.6,-10.0,-11.61,Turun,-1.0,2200.35,0.1043,Rendah,0
Bali,2019,3047.0,False,4267471.0,738.4,True,71.4,3.015,Bali & Nusa Tenggara,Bali,0,0,-1.020432376,-0.3411731523,-0.0038834728,-1.4674962186,76.1,86.1,77.9,-4.7,-6.18,Stabil,0.0,2226.28,0.0967,Rendah,0
Bali,2020,2597.0,False,4317400.0,747.0,False,60.2,3.015,Bali & Nusa Tenggara,Bali,0,0,-1.1495711396,-0.3366427881,-0.0006491888,-1.4674962186,71.4,76.1,69.2,-11.2,-15.69,Turun,-1.0,2252.2,0.0806,Rendah,0
Bali,2021,2404.0,False,4362700.0,755.0,False,55.1,3.015,Bali & Nusa Tenggara,Bali,0,0,-1.208375398,-0.3325324415,0.0023594474,-1.4674962186,60.2,71.4,62.2,-5.1,-8.47,Turun,-1.0,2276.33,0.073,Rendah,0
