provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Aceh,2015,8048.0,False,4976861.0,85.9,True,161.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.0207489056,-0.2768058494,-0.2492753676,0.0385332008
Aceh,2016,9646.0,False,5035090.0,86.9,True,191.6,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.3655032834,-0.2715223754,-0.2488992881,0.0385332008
Aceh,2017,8885.0,False,5094000.0,87.9,True,174.4,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.1671830393,-0.26617711,-0.2485232086,0.0385332008
Aceh,2018,8758.0,False,5153600.0,88.9,True,169.9,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.115296929,-0.2607692367,-0.248147129,0.0385332008
Aceh,2019,7483.0,False,5213897.0,89.9,True,143.5,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.1891015853,-0.2552981203,-0.2477710495,0.0385332008
Aceh,2020,7745.0,False,5274900.0,91.0,False,146.8,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.151051771,-0.2497629441,-0.247357362,0.0385332008
Aceh,2021,6651.0,False,5333700.0,92.0,False,124.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.4058702242,-0.2444276597,-0.2469812825,0.0385332008
Aceh,2022,10137.0,False,5407900.0,95.0,False,187.4,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.3170762471,-0.2376950389,-0.2458530439,0.0385332008
Aceh,2023,12420.0,False,5482500.0,96.0,False,226.5,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.767908895,-0.2309261237,-0.2454769643,0.0385332008
Aceh,2024,11934.0,False,5554800.0,98.0,False,214.8,5.654999999999999,Sumatera,Sumatera Bagian Utara,5,17,0.6330050081,-0.2243659015,-0.2447248053,1.7781508567
