provinsi,tahun,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Aceh,2015,Sumatera,Sumatera Bagian Utara,5,17,0.03321973838014044,-0.27239122749732037,-0.249919843657095,0.03853320081148591
Aceh,2016,Sumatera,Sumatera Bagian Utara,5,17,0.3803262097103118,-0.2671154314473087,-0.24954370201029863,0.03853320081148591
Aceh,2017,Sumatera,Sumatera Bagian Utara,5,17,0.18065292185482876,-0.26177793388928455,-0.2491675603635023,0.03853320081148591
Aceh,2018,Sumatera,Sumatera Bagian Utara,5,17,0.12841281747403377,-0.2563779193848161,-0.24879141871670596,0.03853320081148591
Aceh,2019,Sumatera,Sumatera Bagian Utara,5,17,-0.1780624615599637,-0.2509147537040118,-0.2484152770699096,0.03853320081148591
Aceh,2020,Sumatera,Sumatera Bagian Utara,5,17,-0.13975305168071386,-0.24538762140843975,-0.2480015212584336,0.03853320081148591
Aceh,2021,Sumatera,Sumatera Bagian Utara,5,17,-0.39631000875084055,-0.24006009032013864,-0.24762537961163728,0.03853320081148591
Aceh,2022,Sumatera,Sumatera Bagian Utara,5,17,0.3315687789549032,-0.2333372534706158,-0.24649695467124821,0.03853320081148591
Aceh,2023,Sumatera,Sumatera Bagian Utara,5,17,0.7854772414635887,-0.22657817491300924,-0.24612081302445188,0.03853320081148591
Aceh,2024,Sumatera,Sumatera Bagian Utara,5,17,0.6496529700735217,-0.2200274861768839,-0.24536852973085918,1.7781508566735715
Bali,2015,Bali Nusra,Bali,0,0,-0.41024070325238593,-0.3542431252043142,-0.01712577845483598,-1.4674962185744203
Bali,2016,Bali Nusra,Bali,0,0,-0.5019511087208928,-0.3499250162904138,-0.014041416951105919,-1.4674962185744203
Bali,2017,Bali Nusra,Bali,0,0,-0.8444140152172156,-0.34555635019373665,-0.010881827118016616,-1.4674962185744203
Bali,2018,Bali Nusra,Bali,0,0,-0.9605031360634267,-0.34113649268439133,-0.007722237284927311,-1.4674962185744203
Bali,2019,Bali Nusra,Bali,0,0,-1.0150650228611457,-0.33666499074102674,-0.00448741912247872,-1.4674962185744203
Bali,2020,Bali Nusra,Bali,0,0,-1.1450848382089023,-0.3321412101337515,-0.0012526009600301292,-1.4674962185744203
Bali,2021,Bali Nusra,Bali,0,0,-1.2042902898404702,-0.3280368366932746,0.001756532214340645,-1.4674962185744203
Bali,2022,Bali Nusra,Bali,0,0,-0.18618870001919832,-0.32328917293431236,0.014921489852212783,-1.4674962185744203
Bali,2023,Bali Nusra,Bali,0,0,1.2974302643953801,-0.32426769905257175,0.014169206558620088,-1.4674962185744203
Bali,2024,Bali Nusra,Bali,0,0,1.7826827895325421,-0.32164017521650484,0.016049914792601823,-2.9243491671232342
Banten,2015,Jawa,Jawa Bagian Barat,1,1,-1.3273447579374538,0.29434863033950676,0.15499663911917236,1.4062537959680732
Banten,2016,Jawa,Jawa Bagian Barat,1,1,-1.3772630799013246,0.30625529990477895,0.16011216551560264,1.4062537959680732
Banten,2017,Jawa,Jawa Bagian Barat,1,1,-1.4712952677867557,0.3183013188376329,0.1652653060767126,1.4062537959680732
Banten,2018,Jawa,Jawa Bagian Barat,1,1,-1.8439413457030933,0.33048822741066214,0.17053128913186147,1.4062537959680732
Banten,2019,Jawa,Jawa Bagian Barat,1,1,-1.5200526985421643,0.3428177471050007,0.17583488635168992,1.4062537959680732
Banten,2020,Jawa,Jawa Bagian Barat,1,1,-1.4295031842821195,0.35529150879751226,0.18117609773619806,1.4062537959680732
Banten,2021,Jawa,Jawa Bagian Barat,1,1,-1.5130873512913916,0.3695073187933362,0.1871943640849396,1.4062537959680732
Banten,2022,Jawa,Jawa Bagian Barat,1,1,-1.3668150590251658,0.3867674322681893,0.2105151461863131,1.4062537959680732
Banten,2023,Jawa,Jawa Bagian Barat,1,1,-1.1462457294173645,0.39181409011884194,0.21277199606709118,1.4062537959680732
Banten,2024,Jawa,Jawa Bagian Barat,1,1,-1.203129398632008,0.4030218383437203,0.21766183747544368,3.247297922931659
Bengkulu,2015,Sumatera,Sumatera Bagian Selatan,5,15,0.8876356678082546,-0.5514313595509766,-0.24638411217720935,0.03853320081148591
Bengkulu,2016,Sumatera,Sumatera Bagian Selatan,5,15,0.17949203064636673,-0.549420307169413,-0.24597035636573333,0.03853320081148591
Bengkulu,2017,Sumatera,Sumatera Bagian Selatan,5,15,1.0664129139114196,-0.5473857882818655,-0.24555660055425735,0.03853320081148591
Bengkulu,2018,Sumatera,Sumatera Bagian Selatan,5,15,0.15859598889404858,-0.5453273498669826,-0.2451052305781017,0.03853320081148591
Bengkulu,2019,Sumatera,Sumatera Bagian Selatan,5,15,0.1725266833955938,-0.5432449013204942,-0.24469147476662578,0.03853320081148591
Bengkulu,2020,Sumatera,Sumatera Bagian Selatan,5,15,0.08081627792708726,-0.5411380802253196,-0.24424010479047015,0.03853320081148591
Bengkulu,2021,Sumatera,Sumatera Bagian Selatan,5,15,0.15046975043481395,-0.5391266654266753,-0.24386396314367378,0.03853320081148591
Bengkulu,2022,Sumatera,Sumatera Bagian Selatan,5,15,0.19226183393944987,-0.536662229276985,-0.24386396314367378,0.03853320081148591
Bengkulu,2023,Sumatera,Sumatera Bagian Selatan,5,15,1.2602817457245918,-0.5343155786785667,-0.2431116798500811,0.03853320081148591
Bengkulu,2024,Sumatera,Sumatera Bagian Selatan,5,15,1.0815044996214271,-0.5319417467990856,-0.24273553820328475,-1.3138197472085114
DI Yogyakarta,2015,Jawa,Jawa Bagian Tengah,1,2,1.4065540379908181,-0.4096972875773164,0.13333088026370274,1.4062537959680732
DI Yogyakarta,2016,Jawa,Jawa Bagian Tengah,1,2,0.92362329527058,-0.4060279052381139,0.13822072167205524,1.4062537959680732
DI Yogyakarta,2017,Jawa,Jawa Bagian Tengah,1,2,0.5324029580188483,-0.40231566707910243,0.14311056308040773,1.4062537959680732
DI Yogyakarta,2018,Jawa,Jawa Bagian Tengah,1,2,0.33621234378875176,-0.39855993887039054,0.14811324698279915,1.4062537959680732
DI Yogyakarta,2019,Jawa,Jawa Bagian Tengah,1,2,0.28513313061641876,-0.3947602675906272,0.15315354504987022,1.4062537959680732
DI Yogyakarta,2020,Jawa,Jawa Bagian Tengah,1,2,0.5997346481096508,-0.39091620021846135,0.1582314572816209,1.4062537959680732
DI Yogyakarta,2021,Jawa,Jawa Bagian Tengah,1,2,-0.35103525162081833,-0.3869114914752146,0.16349744033676974,1.4062537959680732
DI Yogyakarta,2022,Jawa,Jawa Bagian Tengah,1,2,1.4239674061177499,-0.38247188223496364,0.1638735819835661,1.4062537959680732
DI Yogyakarta,2023,Jawa,Jawa Bagian Tengah,1,2,1.903415475212602,-0.3847732306982774,0.16086444880919532,1.4062537959680732
DI Yogyakarta,2024,Jawa,Jawa Bagian Tengah,1,2,1.755982291737914,-0.38268933248346576,0.1638735819835661,-1.0433491576045113
DKI Jakarta,2015,Jawa,Jawa Bagian Barat,1,1,3.3359552264548467,0.17958500329183064,5.362978652332031,1.4062537959680732
DKI Jakarta,2016,Jawa,Jawa Bagian Barat,1,1,3.2047745198986286,0.19014900817687264,5.4290291255094685,1.4062537959680732
DKI Jakarta,2017,Jawa,Jawa Bagian Barat,1,1,2.1135367839442436,0.2008365066822098,5.49586949614518,1.4062537959680732
