provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Aceh,2015,8048.0,False,4976861.0,85.9,True,161.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.0332197383801404,-0.2723912274973203,-0.249919843657095,0.0385332008114859
Aceh,2016,9646.0,False,5035090.0,86.9,True,191.6,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.3803262097103118,-0.2671154314473087,-0.2495437020102986,0.0385332008114859
Aceh,2017,8885.0,False,5094000.0,87.9,True,174.4,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.1806529218548287,-0.2617779338892845,-0.2491675603635023,0.0385332008114859
Aceh,2018,8758.0,False,5153600.0,88.9,True,169.9,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.1284128174740337,-0.2563779193848161,-0.2487914187167059,0.0385332008114859
Aceh,2019,7483.0,False,5213897.0,89.9,True,143.5,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.1780624615599637,-0.2509147537040118,-0.2484152770699096,0.0385332008114859
Aceh,2020,7745.0,False,5274900.0,91.0,False,146.8,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.1397530516807138,-0.2453876214084397,-0.2480015212584336,0.0385332008114859
Aceh,2021,6651.0,False,5333700.0,92.0,False,124.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,-0.3963100087508405,-0.2400600903201386,-0.2476253796116372,0.0385332008114859
Bali,2015,5032.0,False,4073461.0,704.8,True,123.5,3.015,Bali Nusra,Bali,0,0,-0.4102407032523859,-0.3542431252043142,-0.0171257784548359,-1.4674962185744205
Bali,2016,4764.0,False,4121120.0,713.0,True,115.6,3.015,Bali Nusra,Bali,0,0,-0.5019511087208928,-0.3499250162904138,-0.0140414169511059,-1.4674962185744205
Bali,2017,3589.0,False,4169337.0,721.4,True,86.1,3.015,Bali Nusra,Bali,0,0,-0.8444140152172156,-0.3455563501937366,-0.0108818271180166,-1.4674962185744205
Bali,2018,3212.0,False,4218119.0,729.8,True,76.1,3.015,Bali Nusra,Bali,0,0,-0.9605031360634269,-0.3411364926843913,-0.0077222372849273,-1.4674962185744205
Bali,2019,3047.0,False,4267471.0,738.4,True,71.4,3.015,Bali Nusra,Bali,0,0,-1.0150650228611455,-0.3366649907410267,-0.0044874191224787,-1.4674962185744205
Bali,2020,2597.0,False,4317400.0,747.0,False,60.2,3.015,Bali Nusra,Bali,0,0,-1.1450848382089025,-0.3321412101337515,-0.0012526009600301,-1.4674962185744205
Bali,2021,2404.0,False,4362700.0,755.0,False,55.1,3.015,Bali Nusra,Bali,0,0,-1.2042902898404702,-0.3280368366932746,0.0017565322143406,-1.4674962185744205
Banten,2015,5002.0,False,11231973.0,1162.4,True,44.5,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.3273447579374538,0.2943486303395067,0.1549966391191723,1.4062537959680732
Banten,2016,4570.0,False,11363387.0,1176.0,True,40.2,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.3772630799013246,0.3062552999047789,0.1601121655156026,1.4062537959680732
